r (Angstrom),"g(r) O-Cl-, Glycine (G)","g(r) O-OE1, Glycine (G)","g(r) O-Cl-, Serine (S)","g(r) O-OE1, Serine (S)","g(r) O-Cl-, Arginine (R)","g(r) O-OE1, Arginine (R)","g(r) O-Cl-, Lysine (K)","g(r) O-OE1, Lysine (K)","g(r) O-Cl-, Aspartic acid (D)","g(r) O-OE1, Aspartic acid (D)","g(r) O-Cl-, Glutamine (Q)","g(r) O-OE1, Glutamine (Q)","g(r) O-Cl-, Tyrosine (Y)","g(r) O-OE1, Tyrosine (Y)","g(r) O-Cl-, Phenylalanine (F)","g(r) O-OE1, Phenylalanine (F)"
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019410647278968209
2.7000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016637094917891849,0.0,0.0,0.0,0.1065274398333569
2.900000000000001,0.0,0.002882743249083319,0.0,0.001439671144183199,0.0,0.005712252358495904,0.0,0.0014289598353297355,0.0,0.0028867885050581797,0.0,0.0,0.0,0.0,0.0,0.1543686770993197
3.1000000000000005,0.0,0.017674325430855134,0.0,0.020182578924488458,0.0,0.020002478879057293,0.0,0.007497560974231332,0.0,0.012620152629734975,0.0,0.012617355508542358,0.0,0.0,0.16961696759500866,0.0643969338649796
3.3000000000000007,0.0,0.03453106429880517,0.004604979081502049,0.05566268285994565,0.0011399369203024445,0.03200472914333202,0.0,0.029779956495816797,0.0011512915380988684,0.018936411311451105,0.004604583203509429,0.015591149147623828,0.0,0.004457449449722667,0.447907994369008,0.05236754275835579
3.500000000000001,0.00716462182256135,0.0594290212357341,0.024563800787383835,0.09698546209990694,0.017232695551538387,0.07655588155484314,0.011149677562959096,0.07256305326945897,0.006139598290427787,0.04753493967719143,0.01330393442803119,0.06338848868308102,0.0,0.044539810550715694,0.3296084490659764,0.06736733526320779
3.7000000000000006,0.0329707729691678,0.12848089482665934,0.06685797188867446,0.14966723196518963,0.05895813377857954,0.11941416754591785,0.04081841235461775,0.16231255191897054,0.02747116749632975,0.10012502269476037,0.04212712108455467,0.10459830236117652,0.0009159753103134761,0.09478055338582714,0.1657942320616524,0.06825109548476818
3.900000000000001,0.09067763751476972,0.20100435238934683,0.1739383034231886,0.2223967201490376,0.16654833753583154,0.21336700032576214,0.12491617839909805,0.23219789463801646,0.07747558397234168,0.17146772561291618,0.12364359487650256,0.15876652695189292,0.06512770525299827,0.0757307491303283,0.11459907016103428,0.08538309719897182
4.1000000000000005,0.21556804786759293,0.29158610617317804,0.25062193254442433,0.2928614226426517,0.2733313572553156,0.34470643584297606,0.23639909008866988,0.3237198840691493,0.165560710204802,0.24607577734875097,0.2230098089876792,0.26995113132954934,0.24093819399295424,0.07287929394445801,0.1260769625409964,0.12200546146913789
4.300000000000001,0.36009191221177284,0.3320323317279694,0.40281733806186143,0.34230797697748133,0.4513299083051868,0.36794529869268644,0.3398531327447334,0.3326747460112802,0.27392237052621665,0.28407832384902315,0.35735805826175765,0.2808923015367457,0.2766977781755502,0.10428330699983848,0.190584056186858,0.16801761186430797
4.500000000000001,0.45945478832425496,0.39425609422717744,0.541811614157484,0.41614087999223925,0.5457982104964927,0.4487224487946158,0.47589977557202473,0.40161847827743313,0.36898964228486164,0.2929434103391884,0.5083417990192889,0.3014690668291639,0.21240106509483386,0.12277089715039213,0.21241829881701962,0.23611431221231233
4.7,0.5290394376143018,0.4888145801797286,0.5778599156550555,0.5648366229172044,0.6431373711178965,0.5207789846012915,0.5503936324415122,0.4639141739326534,0.39274109218835385,0.34761770346949883,0.47905793225505927,0.35102408137418084,0.19187233522176766,0.19217415597197118,0.30600179941083183,0.2961322789463473
4.9,0.5692576486430947,0.5310579608400543,0.5645555308528374,0.6459256637654044,0.6491253323941655,0.5783062024201244,0.523973614583062,0.4838671115039517,0.42921711123072365,0.3855105837148308,0.5138693910891771,0.3421960307969577,0.2632346764450024,0.26167007761442584,0.41002796503438854,0.31287762176125977
5.1000000000000005,0.6961557876775153,0.5345836560415077,0.6918169640677101,0.6060321298018885,0.7324326762779646,0.5222688333075564,0.5772761509102268,0.4937462480425043,0.41549831901030665,0.36193977629371077,0.49749840328264944,0.38726946274905133,0.3616020461672441,0.3352586448200107,0.4739748643308132,0.3616234726245054
5.300000000000001,0.9570977642875738,0.5286834363166109,0.9137986759539067,0.5935329027156265,1.0124446981819166,0.5448123768091959,0.7396846780850771,0.48414894343536014,0.50970746725395,0.36106058160785637,0.5887761960397708,0.37371660388138606,0.4058061590505928,0.375211549144409,0.4978147722163808,0.377630216132427
5.500000000000001,0.8344609825776474,0.560337787620438,0.7673067396964066,0.6585806785495227,0.9003324888695505,0.618364286005184,0.695493674733147,0.542498081547867,0.46336936953884966,0.3661653402164338,0.5376180757386524,0.4220541004803939,0.4949841329402641,0.3845214884335241,0.4966869027294857,0.38717276749995305
5.700000000000001,0.7082328605329669,0.6042499017553312,0.6958850499733106,0.6863439935118696,0.7545578017229555,0.6471430360525466,0.5925041968786352,0.5883065952292108,0.4206205977704472,0.4480854224889951,0.4951570776945326,0.4657951081339698,0.5500227876783502,0.4479900411739389,0.5381040967512719,0.4437867092516655
5.9,0.6732841083941655,0.6242797860465654,0.6920206166632845,0.7294417538048978,0.7417337245909228,0.7373500537179711,0.5947627409777215,0.6661424428332643,0.4059168785554062,0.48479513695873633,0.528796469081931,0.5006379852792391,0.5540790403550668,0.4372861233164247,0.5591703634897066,0.47242487291315755
6.1000000000000005,0.7205167630587037,0.6897152965626657,0.7484894054288191,0.7443110968803079,0.8290729380137142,0.7346371886906762,0.6051353587453469,0.7513404072924073,0.43937687024873406,0.4906940120738389,0.5492856902185649,0.527377396677165,0.5567679635547416,0.47298909748970885,0.6046750244021437,0.49383508669912907
6.300000000000001,0.7544871654109424,0.6912202446890465,0.8360039376495066,0.7332365409332244,0.8595677999854985,0.808089774496886,0.7090781617622289,0.7746164656356215,0.5190177060890686,0.530035352261274,0.6384958160908862,0.5751479794099938,0.6050834589303028,0.47672947074287003,0.6566352394536477,0.5330052887394556
6.500000000000001,0.8177031754956833,0.7228486568850445,0.8598518982823415,0.7470713044264793,0.9333009118823362,0.8444891306352424,0.8089870268188843,0.8399783588752444,0.5754103692794434,0.568551768572332,0.7158537556717308,0.6253335824219758,0.6188839041188909,0.5466092986097845,0.668207972502932,0.5618887994712258
6.700000000000001,0.8746551619517273,0.7468173887689962,0.8880646383418687,0.7631318048049192,1.0145353782665743,0.8617548023684405,0.9227117456683724,0.9099580454264373,0.6488241706963754,0.5805237143602754,0.811472897704097,0.6599028806391999,0.6489778029674609,0.5698761537310134,0.6752916977228539,0.5518291731006588
6.900000000000001,0.9226677076169315,0.7643281481443664,0.9084526494921475,0.7699472306640718,1.0744869664558108,0.8549669997978642,0.9712173185752104,0.8993455836143254,0.7078798032123023,0.6098020833418835,0.8043585133827612,0.6566346641741652,0.671166389842634,0.5747827606238128,0.6841323722448694,0.5860800296915365
7.100000000000001,0.9567494570630949,0.7924137736539425,0.9385932218215701,0.7675986644011569,1.0847806956550512,0.877873618634483,1.0670779693712702,0.9761949034863834,0.7265171645326529,0.6211722603754504,0.8656518041579809,0.6497706468326252,0.7249495671205728,0.622984157951843,0.7080820154937453,0.6120399967450958
7.300000000000001,0.9838799397945335,0.7835058068653822,0.9375246041205132,0.7946012840632566,1.1044682014550253,0.8938075050778787,1.0788642007620788,1.0474504728291936,0.7319567220161748,0.6258567889552586,0.9019368386343205,0.6868747691865696,0.7631947799376402,0.6773922870164311,0.7731416186858704,0.6381744608241257
7.500000000000001,0.9840531824446578,0.8104382546350016,0.9345654222775105,0.7956877372084693,1.1075110862810955,0.9260770317298128,1.1477335747814497,1.0884317551720497,0.7554104898298726,0.6772623312444326,0.9088671521899359,0.7037753036352103,0.8090967741816398,0.7202501204717375,0.8047022416111275,0.6581162842719672
7.700000000000001,0.9630021254842434,0.7887611171882163,0.9312785839862301,0.8410254236232433,1.093876641592746,0.9467257949138793,1.2011712926857336,1.1064046851864955,0.7727216242490547,0.6904160117937477,0.8865930898845056,0.715404641333742,0.8712597345673745,0.7314046735913182,0.8131543201658649,0.6710541860671599
7.900000000000001,0.99422962647328,0.8171635932662394,0.943396971463004,0.8438621820943152,1.1128309299289505,0.9772242124038335,1.1900812721988334,1.1394410022479935,0.8019980216682994,0.7072277253190385,0.9033537980400056,0.7395194591510604,0.9396317132103628,0.775690171216598,0.8474672974431972,0.6884816059086607
8.100000000000001,0.9719262829081412,0.8557627782238513,0.9637099507909209,0.8492628955878532,1.1479021691379776,0.9815963264559819,1.1901582321950106,1.1862524302357302,0.7969022409545119,0.7685209554789924,0.9214112762479125,0.7615573935090183,0.9706495021529236,0.7849752638116091,0.8717027433942945,0.7127895727156418
8.3,0.9811727948371392,0.862903840870145,0.9522352504873386,0.8551198825594546,1.1673510712735766,1.0191390293859368,1.2081369844445855,1.2085828842710353,0.8051872385367782,0.7712010040238779,0.9012077289229286,0.7906481294735411,0.977958507519368,0.7893462589039357,0.9002939438897651,0.7340096356251471
8.500000000000002,0.9702609460141158,0.8678001959852414,0.9442295387522626,0.8662046539674209,1.1984997894189957,1.021988517071511,1.2291389322470412,1.191457408515005,0.8508696450772425,0.7899121183041488,0.9245575898710323,0.8061051242998114,0.9975706804748119,0.7722924820571849,0.8856848286953124,0.7525951213066957
8.700000000000001,0.9927703121992878,0.9122187333671827,0.9743847240686121,0.8939736441264802,1.180949635121057,1.0269672787226176,1.2019975554270674,1.181438960765388,0.8710107740777456,0.8123654486984916,0.9640507289890563,0.8231889882516459,0.9729463935364057,0.8182798440927147,0.9049215531240227,0.7795119472806468
8.900000000000002,1.005808646686459,0.8633718001867916,1.0069210066154148,0.8867051853984564,1.1748833028918508,1.0204793770006164,1.2034632039502402,1.2067554821387696,0.9073330123935468,0.826198855217068,1.000840265105765,0.8214268127913075,0.963121495685877,0.8300142772899715,0.9073049621263742,0.7926640746966958
9.100000000000001,1.016904695420584,0.8994014059090922,0.987075970144533,0.9127336439645604,1.1784057699608097,1.0653102739765188,1.223740606101398,1.1852102955661854,0.9021110895787796,0.837462382241765,1.010483738579078,0.8597074149771803,0.9571452067156044,0.8510681193157276,0.9060327111491182,0.793666620421122
9.3,1.0213397338568715,0.8883568190813063,1.006555718708311,0.9113426482212743,1.1657493426580818,1.0353923685403985,1.2059971635913467,1.190902021252417,0.9060574386239564,0.8280664886722063,1.0009829776591053,0.8865449655123239,0.9908082645570172,0.886088321723212,0.9222976433020931,0.8407527877494804
9.500000000000002,1.0129744475908427,0.9028952749269564,1.0200670969095849,0.8982464345264574,1.1236508933234384,1.060447525053998,1.2189233067501515,1.1921505066819256,0.9241629310386299,0.8175033997983276,1.0152782171742258,0.8704456963341307,1.0010856095281462,0.9057769132990656,0.92209239962022,0.8281974296315722
9.700000000000001,1.010553576746963,0.8915429610492388,0.9938983475715267,0.9260204413922724,1.1577850920915176,1.0942381910496268,1.1834323961045787,1.1632792273932062,0.9065680169619922,0.8342997878178919,1.0090282111817694,0.8783872066030203,1.002620371663762,0.9033450351767746,0.9604446964359018,0.8308952680201102
9.900000000000002,0.9830595982178318,0.9304251041169016,1.0039213563005174,0.9263380513677449,1.1366985967605863,1.096339787816282,1.184895778162115,1.2241589620931663,0.909712812553723,0.8359568435487059,1.0002759871836817,0.8836419278472571,1.0021891714721496,0.9062141313450707,0.9386665977491151,0.8418870679999582
10.100000000000001,1.023438863944938,0.9154581216747151,0.9991024458620321,0.935774994376824,1.1655449925461552,1.1051925091018338,1.2067383980432838,1.2218331648308198,0.8922345289479439,0.8462358030265317,1.0182169472283773,0.9052730423911705,1.0206756355182387,0.8941196591193564,0.9645673949863969,0.8743034134671159
10.300000000000002,1.0182424217347466,0.9429425297408401,0.9847949511147183,0.9243776298645108,1.147064697220915,1.1300197888585084,1.2080988185969948,1.2022661377288133,0.9005859317505274,0.8657235063383002,1.0134529044027512,0.9061497607856217,1.0264613892998957,0.912219816454215,0.9634132578454907,0.8695036096372212
10.500000000000002,1.0035959489616375,0.9310071836031638,0.9940463268158285,0.95427285815951,1.1527857188902733,1.134812599419778,1.213661299452622,1.1526402903299506,0.9190391203239563,0.8862159937399241,1.0060410988963535,0.9281199096084816,1.0103731892294832,0.9022318289372397,0.9922492164022777,0.8924070653955589
10.700000000000001,1.0046598184441784,0.9813335181810849,1.008496906023228,0.9709513805616115,1.1695449756065337,1.1292443982154616,1.182929122248911,1.1292490281649838,0.9395426978360875,0.8750071885508303,1.0006573852596619,0.9257468622585459,1.017425054903375,0.9228598078856944,0.9922036846951194,0.8764181600533404
10.900000000000002,1.016788818910965,0.9466969913631939,1.0104597782351044,0.9683093144484014,1.1663286727560422,1.1235741140391964,1.1491181822451377,1.128678821139048,0.9328165187490846,0.8753616770118366,1.0214791246191957,0.9362142453819089,1.014846413976329,0.9310342324890402,0.972596561317649,0.8940135216678651
